"subject","block","leftpoints","rightpoints","responselocation","rsi","rt","blocktime","transcode","stimrep","current_pv","other_pv","difference","subject_error","rt_mean","rt_sd"
1,1,6,3,"left",1100,2737,182.62,0,0,6,3,-3,0.0225846925972397,1067.24709302326,871.000777932449
1,1,8,10,"right",200,1443,182.62,1,1,8,10,2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,4,10,"right",200,826,182.62,0,1,10,4,-6,0.0225846925972397,1067.24709302326,871.000777932449
1,1,10,1,"left",1100,597,182.62,1,1,1,10,9,0.0225846925972397,1067.24709302326,871.000777932449
1,1,6,10,"right",200,1127,182.62,1,0,6,10,4,0.0225846925972397,1067.24709302326,871.000777932449
1,1,3,4,"right",200,859,182.62,0,0,4,3,-1,0.0225846925972397,1067.24709302326,871.000777932449
1,1,8,7,"left",1100,426,182.62,1,0,7,8,1,0.0225846925972397,1067.24709302326,871.000777932449
1,1,4,5,"right",1100,811,182.62,1,0,4,5,1,0.0225846925972397,1067.24709302326,871.000777932449
1,1,8,6,"left",1100,1516,182.62,1,0,6,8,2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,10,3,"left",200,1440,182.62,0,0,10,3,-7,0.0225846925972397,1067.24709302326,871.000777932449
1,1,5,10,"right",200,2503,182.62,1,0,5,10,5,0.0225846925972397,1067.24709302326,871.000777932449
1,1,4,10,"right",1100,497,182.62,1,1,4,10,6,0.0225846925972397,1067.24709302326,871.000777932449
1,1,3,7,"right",200,1431,182.62,0,1,7,3,-4,0.0225846925972397,1067.24709302326,871.000777932449
1,1,8,8,"left",200,3289,182.62,1,0,8,8,0,0.0225846925972397,1067.24709302326,871.000777932449
1,1,2,2,"left",1100,748,182.62,0,0,2,2,0,0.0225846925972397,1067.24709302326,871.000777932449
1,1,3,2,"left",200,3455,182.62,0,0,3,2,-1,0.0225846925972397,1067.24709302326,871.000777932449
1,1,8,6,"left",1100,1236,182.62,0,1,8,6,-2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,3,4,"right",200,1459,182.62,1,0,3,4,1,0.0225846925972397,1067.24709302326,871.000777932449
1,1,2,7,"right",1100,1458,182.62,0,0,7,2,-5,0.0225846925972397,1067.24709302326,871.000777932449
1,1,4,8,"right",1100,425,182.62,0,0,8,4,-4,0.0225846925972397,1067.24709302326,871.000777932449
1,1,3,6,"right",1100,458,182.62,0,0,6,3,-3,0.0225846925972397,1067.24709302326,871.000777932449
1,1,4,8,"right",1100,505,182.62,0,0,8,4,-4,0.0225846925972397,1067.24709302326,871.000777932449
1,1,8,2,"right",1100,559,182.62,0,0,2,8,6,0.0225846925972397,1067.24709302326,871.000777932449
1,1,6,3,"left",200,1826,182.62,1,0,3,6,3,0.0225846925972397,1067.24709302326,871.000777932449
1,1,3,3,"left",1100,858,182.62,0,0,3,3,0,0.0225846925972397,1067.24709302326,871.000777932449
1,1,3,1,"left",200,1497,182.62,0,1,3,1,-2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,1,9,"right",1100,694,182.62,1,0,1,9,8,0.0225846925972397,1067.24709302326,871.000777932449
1,1,2,5,"right",1100,2196,182.62,0,0,5,2,-3,0.0225846925972397,1067.24709302326,871.000777932449
1,1,7,2,"left",200,1931,182.62,1,0,2,7,5,0.0225846925972397,1067.24709302326,871.000777932449
1,1,6,5,"left",1100,487,182.62,0,1,6,5,-1,0.0225846925972397,1067.24709302326,871.000777932449
1,1,9,7,"left",200,669,182.62,0,1,9,7,-2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,7,10,"right",1100,1076,182.62,1,0,7,10,3,0.0225846925972397,1067.24709302326,871.000777932449
1,1,9,2,"left",1100,1274,182.62,1,0,2,9,7,0.0225846925972397,1067.24709302326,871.000777932449
1,1,3,6,"right",1100,1608,182.62,1,0,3,6,3,0.0225846925972397,1067.24709302326,871.000777932449
1,1,6,5,"left",1100,3744,182.62,1,0,5,6,1,0.0225846925972397,1067.24709302326,871.000777932449
1,1,8,1,"left",1100,353,182.62,0,0,8,1,-7,0.0225846925972397,1067.24709302326,871.000777932449
1,1,4,9,"right",200,1437,182.62,1,1,4,9,5,0.0225846925972397,1067.24709302326,871.000777932449
1,1,8,6,"left",200,2340,182.62,1,0,6,8,2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,9,7,"left",1100,895,182.62,0,0,9,7,-2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,5,7,"left",200,524,182.62,0,0,5,7,2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,5,9,"right",200,2009,182.62,1,1,5,9,4,0.0225846925972397,1067.24709302326,871.000777932449
1,1,10,3,"left",200,2953,182.62,1,0,3,10,7,0.0225846925972397,1067.24709302326,871.000777932449
1,1,8,5,"left",200,3818,182.62,0,0,8,5,-3,0.0225846925972397,1067.24709302326,871.000777932449
1,1,5,8,"right",200,2280,182.62,1,0,5,8,3,0.0225846925972397,1067.24709302326,871.000777932449
1,1,4,9,"right",200,6445,182.62,0,0,9,4,-5,0.0225846925972397,1067.24709302326,871.000777932449
1,1,5,6,"right",1100,2399,182.62,0,1,6,5,-1,0.0225846925972397,1067.24709302326,871.000777932449
1,1,7,9,"right",200,759,182.62,0,0,9,7,-2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,6,4,"left",200,2258,182.62,1,0,4,6,2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,2,1,"left",1100,1256,182.62,0,0,2,1,-1,0.0225846925972397,1067.24709302326,871.000777932449
1,1,1,1,"right",200,1175,182.62,1,1,1,1,0,0.0225846925972397,1067.24709302326,871.000777932449
1,1,3,1,"left",1100,2425,182.62,1,0,1,3,2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,5,1,"left",1100,440,182.62,0,1,5,1,-4,0.0225846925972397,1067.24709302326,871.000777932449
1,1,9,8,"left",1100,680,182.62,0,0,9,8,-1,0.0225846925972397,1067.24709302326,871.000777932449
1,1,5,3,"left",1100,1751,182.62,0,0,5,3,-2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,9,1,"left",1100,569,182.62,0,1,9,1,-8,0.0225846925972397,1067.24709302326,871.000777932449
1,1,9,6,"right",200,724,182.62,1,0,9,6,-3,0.0225846925972397,1067.24709302326,871.000777932449
1,1,6,2,"left",200,1337,182.62,1,1,2,6,4,0.0225846925972397,1067.24709302326,871.000777932449
1,1,6,5,"left",200,5228,182.62,0,1,6,5,-1,0.0225846925972397,1067.24709302326,871.000777932449
1,1,4,1,"left",200,4167,182.62,0,1,4,1,-3,0.0225846925972397,1067.24709302326,871.000777932449
1,1,6,6,"left",200,1439,182.62,0,1,6,6,0,0.0225846925972397,1067.24709302326,871.000777932449
1,1,7,3,"left",1100,1646,182.62,0,0,7,3,-4,0.0225846925972397,1067.24709302326,871.000777932449
1,1,4,10,"right",1100,1541,182.62,1,0,4,10,6,0.0225846925972397,1067.24709302326,871.000777932449
1,1,5,3,"left",200,6128,182.62,1,1,3,5,2,0.0225846925972397,1067.24709302326,871.000777932449
1,1,10,5,"left",1100,615,182.62,0,0,10,5,-5,0.0225846925972397,1067.24709302326,871.000777932449
1,1,9,9,"left",200,1616,182.62,0,0,9,9,0,0.0225846925972397,1067.24709302326,871.000777932449
1,1,1,6,"right",200,960,182.62,1,0,1,6,5,0.0225846925972397,1067.24709302326,871.000777932449
1,1,10,10,"right",200,1443,182.62,0,0,10,10,0,0.0225846925972397,1067.24709302326,871.000777932449
1,1,4,5,"right",1100,1170,182.62,0,1,5,4,-1,0.0225846925972397,1067.24709302326,871.000777932449
1,2,7,10,"right",1100,1014,151.392,1,1,7,10,3,0.0225846925972397,1067.24709302326,871.000777932449
1,2,9,8,"left",1100,2375,151.392,1,0,8,9,1,0.0225846925972397,1067.24709302326,871.000777932449
1,2,9,1,"left",1100,528,151.392,0,0,9,1,-8,0.0225846925972397,1067.24709302326,871.000777932449
1,2,8,2,"left",1100,1205,151.392,0,0,8,2,-6,0.0225846925972397,1067.24709302326,871.000777932449
1,2,1,9,"right",1100,502,151.392,1,0,1,9,8,0.0225846925972397,1067.24709302326,871.000777932449
1,2,6,6,"right",200,659,151.392,0,1,6,6,0,0.0225846925972397,1067.24709302326,871.000777932449
1,2,4,5,"right",1100,659,151.392,0,0,5,4,-1,0.0225846925972397,1067.24709302326,871.000777932449
1,2,3,4,"right",1100,2466,151.392,0,0,4,3,-1,0.0225846925972397,1067.24709302326,871.000777932449
1,2,3,4,"right",200,872,151.392,0,0,4,3,-1,0.0225846925972397,1067.24709302326,871.000777932449
1,2,9,6,"left",200,1910,151.392,1,0,6,9,3,0.0225846925972397,1067.24709302326,871.000777932449
1,2,4,6,"right",1100,1514,151.392,1,0,4,6,2,0.0225846925972397,1067.24709302326,871.000777932449
1,2,7,9,"right",1100,559,151.392,0,1,9,7,-2,0.0225846925972397,1067.24709302326,871.000777932449
1,2,9,2,"left",1100,698,151.392,1,0,2,9,7,0.0225846925972397,1067.24709302326,871.000777932449
1,2,2,1,"left",200,2016,151.392,0,0,2,1,-1,0.0225846925972397,1067.24709302326,871.000777932449
1,2,8,4,"left",1100,2055,151.392,0,1,8,4,-4,0.0225846925972397,1067.24709302326,871.000777932449
1,2,1,2,"right",1100,413,151.392,1,0,1,2,1,0.0225846925972397,1067.24709302326,871.000777932449
1,2,9,2,"left",200,2095,151.392,1,0,2,9,7,0.0225846925972397,1067.24709302326,871.000777932449
1,2,9,7,"left",200,979,151.392,0,0,9,7,-2,0.0225846925972397,1067.24709302326,871.000777932449
1,2,7,7,"left",1100,518,151.392,0,1,7,7,0,0.0225846925972397,1067.24709302326,871.000777932449
1,2,4,4,"left",1100,1603,151.392,0,0,4,4,0,0.0225846925972397,1067.24709302326,871.000777932449
1,2,10,2,"left",200,851,151.392,0,0,10,2,-8,0.0225846925972397,1067.24709302326,871.000777932449
1,2,6,3,"left",200,2050,151.392,0,0,6,3,-3,0.0225846925972397,1067.24709302326,871.000777932449
1,2,8,6,"left",1100,576,151.392,0,0,8,6,-2,0.0225846925972397,1067.24709302326,871.000777932449
1,2,4,9,"right",200,955,151.392,1,0,4,9,5,0.0225846925972397,1067.24709302326,871.000777932449
