"subject","block","rsi","rt","blocktime","transcode","stimrep","current_pv","other_pv","color","difference","rt_mean","rt_sd"
3,1,1100,1082,124.289,0,0,7,4,"black",-3,665.713973799127,456.970543539125
3,1,200,847,124.289,1,1,4,7,"black",3,665.713973799127,456.970543539125
3,1,200,1167,124.289,0,1,3,2,"black",-1,665.713973799127,456.970543539125
3,1,200,633,124.289,0,1,8,6,"black",-2,665.713973799127,456.970543539125
3,1,200,1185,124.289,1,0,3,7,"green",4,665.713973799127,456.970543539125
3,1,1100,971,124.289,0,1,2,1,"black",-1,665.713973799127,456.970543539125
3,1,1100,525,124.289,0,1,10,2,"light green",-8,665.713973799127,456.970543539125
3,1,1100,578,124.289,1,0,4,9,"green",5,665.713973799127,456.970543539125
3,1,1100,1317,124.289,1,1,1,7,"green",6,665.713973799127,456.970543539125
3,1,1100,513,124.289,0,0,8,5,"black",-3,665.713973799127,456.970543539125
3,1,1100,638,124.289,0,0,9,7,"black",-2,665.713973799127,456.970543539125
3,1,1100,663,124.289,0,0,8,6,"black",-2,665.713973799127,456.970543539125
3,1,200,750,124.289,0,0,5,1,"green",-4,665.713973799127,456.970543539125
3,1,1100,841,124.289,0,0,8,7,"black",-1,665.713973799127,456.970543539125
3,1,1100,329,124.289,0,1,9,3,"green",-6,665.713973799127,456.970543539125
3,1,1100,438,124.289,0,1,5,3,"black",-2,665.713973799127,456.970543539125
3,1,1100,502,124.289,0,0,6,5,"black",-1,665.713973799127,456.970543539125
3,1,1100,540,124.289,1,0,7,10,"black",3,665.713973799127,456.970543539125
3,1,1100,808,124.289,1,0,5,9,"green",4,665.713973799127,456.970543539125
3,1,200,880,124.289,1,0,5,9,"green",4,665.713973799127,456.970543539125
3,1,200,1271,124.289,1,0,4,6,"black",2,665.713973799127,456.970543539125
3,1,200,2181,124.289,1,0,1,1,"black",0,665.713973799127,456.970543539125
3,1,1100,710,124.289,1,1,3,10,"light green",7,665.713973799127,456.970543539125
3,1,200,819,124.289,0,0,9,2,"light green",-7,665.713973799127,456.970543539125
3,1,1100,484,124.289,0,0,5,1,"green",-4,665.713973799127,456.970543539125
3,1,1100,482,124.289,1,1,5,6,"black",1,665.713973799127,456.970543539125
3,1,200,1137,124.289,1,0,1,3,"black",2,665.713973799127,456.970543539125
3,1,200,885,124.289,0,0,10,3,"light green",-7,665.713973799127,456.970543539125
3,1,1100,507,124.289,0,1,9,9,"black",0,665.713973799127,456.970543539125
3,1,1100,456,124.289,0,1,10,1,"light green",-9,665.713973799127,456.970543539125
3,1,1100,936,124.289,0,0,10,4,"green",-6,665.713973799127,456.970543539125
3,1,1100,842,124.289,0,0,3,1,"black",-2,665.713973799127,456.970543539125
3,1,200,906,124.289,1,1,4,10,"green",6,665.713973799127,456.970543539125
3,1,200,1319,124.289,0,0,7,6,"black",-1,665.713973799127,456.970543539125
3,1,200,627,124.289,0,1,3,1,"black",-2,665.713973799127,456.970543539125
3,1,1100,420,124.289,0,1,6,2,"green",-4,665.713973799127,456.970543539125
3,1,200,941,124.289,0,1,8,1,"light green",-7,665.713973799127,456.970543539125
3,1,1100,473,124.289,0,0,7,6,"black",-1,665.713973799127,456.970543539125
3,1,200,560,124.289,0,0,8,1,"light green",-7,665.713973799127,456.970543539125
3,1,1100,1627,124.289,1,0,2,10,"light green",8,665.713973799127,456.970543539125
3,1,1100,691,124.289,1,1,6,8,"black",2,665.713973799127,456.970543539125
3,1,1100,1081,124.289,1,0,1,6,"green",5,665.713973799127,456.970543539125
3,1,1100,2631,124.289,0,0,6,5,"black",-1,665.713973799127,456.970543539125
3,1,200,766,124.289,0,1,1,1,"black",0,665.713973799127,456.970543539125
3,1,1100,1337,124.289,0,0,10,9,"black",-1,665.713973799127,456.970543539125
3,1,1100,476,124.289,0,1,3,1,"black",-2,665.713973799127,456.970543539125
3,1,1100,387,124.289,1,1,1,6,"green",5,665.713973799127,456.970543539125
3,1,200,670,124.289,1,1,6,7,"black",1,665.713973799127,456.970543539125
3,1,200,636,124.289,0,1,3,2,"black",-1,665.713973799127,456.970543539125
3,1,200,844,124.289,0,0,4,3,"black",-1,665.713973799127,456.970543539125
3,1,1100,596,124.289,0,1,4,3,"black",-1,665.713973799127,456.970543539125
3,1,1100,478,124.289,0,1,10,8,"black",-2,665.713973799127,456.970543539125
3,1,1100,365,124.289,0,0,8,3,"green",-5,665.713973799127,456.970543539125
3,1,200,664,124.289,1,0,6,10,"green",4,665.713973799127,456.970543539125
3,1,1100,527,124.289,0,0,3,2,"black",-1,665.713973799127,456.970543539125
3,1,200,1292,124.289,0,0,8,7,"black",-1,665.713973799127,456.970543539125
3,1,200,914,124.289,1,0,1,9,"light green",8,665.713973799127,456.970543539125
3,1,1100,3911,124.289,0,0,5,4,"black",-1,665.713973799127,456.970543539125
3,1,1100,457,124.289,0,0,9,5,"green",-4,665.713973799127,456.970543539125
3,1,1100,1257,124.289,0,0,8,9,"black",1,665.713973799127,456.970543539125
3,1,200,447,124.289,0,0,6,1,"green",-5,665.713973799127,456.970543539125
3,1,1100,543,124.289,0,0,8,5,"black",-3,665.713973799127,456.970543539125
3,1,1100,363,124.289,0,0,7,1,"green",-6,665.713973799127,456.970543539125
3,1,1100,1654,124.289,0,0,6,6,"black",0,665.713973799127,456.970543539125
3,1,1100,357,124.289,1,1,9,10,"black",1,665.713973799127,456.970543539125
3,1,200,1104,124.289,1,0,3,10,"light green",7,665.713973799127,456.970543539125
3,1,200,1829,124.289,1,0,9,10,"black",1,665.713973799127,456.970543539125
3,1,1100,613,124.289,0,1,5,5,"black",0,665.713973799127,456.970543539125
3,1,200,1574,124.289,1,1,7,8,"black",1,665.713973799127,456.970543539125
3,2,200,929,123.505,0,0,6,5,"black",-1,665.713973799127,456.970543539125
3,2,200,718,123.505,0,1,9,1,"light green",-8,665.713973799127,456.970543539125
3,2,200,1146,123.505,0,0,5,2,"black",-3,665.713973799127,456.970543539125
3,2,200,846,123.505,0,0,3,3,"black",0,665.713973799127,456.970543539125
3,2,200,598,123.505,0,0,5,2,"black",-3,665.713973799127,456.970543539125
3,2,200,1376,123.505,0,0,5,8,"black",3,665.713973799127,456.970543539125
3,2,200,2447,123.505,0,0,3,6,"black",3,665.713973799127,456.970543539125
3,2,1100,3653,123.505,1,0,3,7,"green",4,665.713973799127,456.970543539125
3,2,1100,825,123.505,1,0,9,8,"black",-1,665.713973799127,456.970543539125
3,2,200,786,123.505,0,0,8,7,"black",-1,665.713973799127,456.970543539125
3,2,200,1004,123.505,0,0,6,6,"black",0,665.713973799127,456.970543539125
3,2,200,1677,123.505,0,0,3,4,"black",1,665.713973799127,456.970543539125
3,2,1100,659,123.505,0,0,6,1,"green",-5,665.713973799127,456.970543539125
3,2,1100,618,123.505,1,1,2,8,"green",6,665.713973799127,456.970543539125
3,2,200,915,123.505,1,0,2,9,"light green",7,665.713973799127,456.970543539125
3,2,200,824,123.505,1,1,5,9,"green",4,665.713973799127,456.970543539125
3,2,200,728,123.505,1,0,5,7,"black",2,665.713973799127,456.970543539125
3,2,200,1293,123.505,1,0,2,4,"black",2,665.713973799127,456.970543539125
3,2,1100,657,123.505,0,0,3,1,"black",-2,665.713973799127,456.970543539125
3,2,1100,1041,123.505,1,0,7,10,"black",3,665.713973799127,456.970543539125
3,2,1100,688,123.505,0,0,9,8,"black",-1,665.713973799127,456.970543539125
3,2,200,630,123.505,0,0,5,4,"black",-1,665.713973799127,456.970543539125
3,2,1100,639,123.505,0,0,10,4,"green",-6,665.713973799127,456.970543539125
3,2,200,1031,123.505,1,0,1,3,"black",2,665.713973799127,456.970543539125
3,2,200,688,123.505,0,0,3,1,"black",-2,665.713973799127,456.970543539125
3,2,1100,638,123.505,1,0,5,6,"black",1,665.713973799127,456.970543539125
3,2,1100,854,123.505,1,0,2,6,"green",4,665.713973799127,456.970543539125
3,2,200,525,123.505,0,1,10,5,"green",-5,665.713973799127,456.970543539125
3,2,200,1114,123.505,0,0,8,2,"green",-6,665.713973799127,456.970543539125
3,2,200,1415,123.505,0,1,9,6,"black",-3,665.713973799127,456.970543539125
3,2,1100,503,123.505,1,0,10,10,"black",0,665.713973799127,456.970543539125
3,2,1100,1453,123.505,0,0,6,3,"black",-3,665.713973799127,456.970543539125
3,2,1100,363,123.505,0,0,10,1,"light green",-9,665.713973799127,456.970543539125
3,2,1100,615,123.505,0,0,4,4,"black",0,665.713973799127,456.970543539125
3,2,1100,352,123.505,0,0,10,3,"light green",-7,665.713973799127,456.970543539125
3,2,200,771,123.505,0,1,3,2,"black",-1,665.713973799127,456.970543539125
3,2,1100,350,123.505,0,0,10,3,"light green",-7,665.713973799127,456.970543539125
3,2,200,1857,123.505,1,0,2,4,"black",2,665.713973799127,456.970543539125
3,2,200,623,123.505,1,0,8,10,"black",2,665.713973799127,456.970543539125
3,2,1100,648,123.505,1,1,1,2,"black",1,665.713973799127,456.970543539125
3,2,1100,440,123.505,0,0,9,7,"black",-2,665.713973799127,456.970543539125
3,2,1100,416,123.505,0,0,6,5,"black",-1,665.713973799127,456.970543539125
3,2,1100,1257,123.505,1,0,3,8,"green",5,665.713973799127,456.970543539125
3,2,1100,456,123.505,0,0,5,5,"black",0,665.713973799127,456.970543539125
3,2,1100,391,123.505,0,0,7,7,"black",0,665.713973799127,456.970543539125
3,2,1100,449,123.505,1,1,1,4,"black",3,665.713973799127,456.970543539125
3,2,200,913,123.505,1,0,3,10,"light green",7,665.713973799127,456.970543539125
3,2,200,1341,123.505,1,1,1,4,"black",3,665.713973799127,456.970543539125
3,2,1100,2367,123.505,0,0,9,2,"light green",-7,665.713973799127,456.970543539125
3,2,1100,808,123.505,0,0,9,8,"black",-1,665.713973799127,456.970543539125
3,2,200,977,123.505,0,0,7,5,"black",-2,665.713973799127,456.970543539125
3,2,1100,692,123.505,0,0,8,1,"light green",-7,665.713973799127,456.970543539125
